




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (973)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (expected)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (over/under)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (fold Enrichment)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (raw P-value)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (FDR)
cleavage furrow formation (GO:0036089)	7	4	.31	+	12.91	8.33E-04	2.75E-02
regulation of synapse structural plasticity (GO:0051823)	10	5	.44	+	11.30	2.85E-04	1.15E-02
positive regulation of miRNA metabolic process (GO:2000630)	8	4	.35	+	11.30	1.21E-03	3.79E-02
regulation of postsynaptic density assembly (GO:0099151)	14	7	.62	+	11.30	1.66E-05	9.93E-04
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	19	9	.84	+	10.70	1.42E-06	1.07E-04
regulation of postsynaptic specialization assembly (GO:0099150)	18	8	.80	+	10.04	7.98E-06	5.10E-04
regulation of postsynaptic density organization (GO:1905874)	19	8	.84	+	9.52	1.09E-05	6.84E-04
regulation of excitatory synapse assembly (GO:1904889)	17	7	.75	+	9.31	4.41E-05	2.29E-03
regulation of synapse maturation (GO:0090128)	16	6	.71	+	8.47	2.37E-04	9.82E-03
regulation of long-term synaptic depression (GO:1900452)	17	6	.75	+	7.98	3.09E-04	1.23E-02
regulation of miRNA metabolic process (GO:2000628)	15	5	.66	+	7.53	1.23E-03	3.85E-02
regulation of clathrin-dependent endocytosis (GO:2000369)	18	6	.80	+	7.53	3.98E-04	1.52E-02
retinal ganglion cell axon guidance (GO:0031290)	19	6	.84	+	7.14	5.05E-04	1.82E-02
positive regulation of long-term synaptic potentiation (GO:1900273)	29	9	1.28	+	7.01	2.28E-05	1.29E-03
positive regulation of dendrite extension (GO:1903861)	28	8	1.24	+	6.46	1.06E-04	4.96E-03
regulation of dendrite extension (GO:1903859)	32	9	1.42	+	6.36	4.37E-05	2.28E-03
embryonic camera-type eye morphogenesis (GO:0048596)	30	8	1.33	+	6.03	1.59E-04	7.07E-03
positive regulation of dendritic spine morphogenesis (GO:0061003)	27	7	1.19	+	5.86	4.73E-04	1.74E-02
ephrin receptor signaling pathway (GO:0048013)	32	8	1.42	+	5.65	2.32E-04	9.66E-03
establishment of planar polarity (GO:0001736)	29	7	1.28	+	5.45	6.82E-04	2.35E-02
regulation of neuron migration (GO:2001222)	54	13	2.39	+	5.44	3.97E-06	2.73E-04
establishment of tissue polarity (GO:0007164)	30	7	1.33	+	5.27	8.11E-04	2.70E-02
protein localization to postsynaptic membrane (GO:1903539)	39	9	1.73	+	5.21	1.61E-04	7.11E-03
regulation of synaptic vesicle exocytosis (GO:2000300)	84	19	3.72	+	5.11	5.84E-08	5.68E-06
neuron fate specification (GO:0048665)	31	7	1.37	+	5.10	9.58E-04	3.10E-02
canonical Wnt signaling pathway (GO:0060070)	80	18	3.54	+	5.08	1.39E-07	1.24E-05
protein localization to postsynapse (GO:0062237)	40	9	1.77	+	5.08	1.89E-04	8.07E-03
embryonic eye morphogenesis (GO:0048048)	36	8	1.59	+	5.02	4.60E-04	1.71E-02
regulation of dendritic spine morphogenesis (GO:0061001)	55	12	2.43	+	4.93	2.18E-05	1.25E-03
regulation of postsynapse organization (GO:0099175)	111	24	4.91	+	4.89	2.36E-09	2.95E-07
dendritic spine development (GO:0060996)	37	8	1.64	+	4.89	5.39E-04	1.93E-02
dendritic spine organization (GO:0097061)	37	8	1.64	+	4.89	5.39E-04	1.92E-02
regulation of transcription regulatory region DNA binding (GO:2000677)	51	11	2.26	+	4.87	5.23E-05	2.68E-03
embryonic camera-type eye development (GO:0031076)	42	9	1.86	+	4.84	2.60E-04	1.06E-02
neuron maturation (GO:0042551)	42	9	1.86	+	4.84	2.60E-04	1.06E-02
positive regulation of synapse assembly (GO:0051965)	80	17	3.54	+	4.80	6.18E-07	4.97E-05
embryonic digestive tract development (GO:0048566)	33	7	1.46	+	4.79	1.32E-03	4.04E-02
semaphorin-plexin signaling pathway (GO:0071526)	38	8	1.68	+	4.76	6.29E-04	2.20E-02
peptidyl-tyrosine dephosphorylation (GO:0035335)	38	8	1.68	+	4.76	6.29E-04	2.19E-02
regulation of postsynaptic membrane potential (GO:0060078)	62	13	2.74	+	4.74	1.45E-05	8.96E-04
regulation of neurotransmitter receptor activity (GO:0099601)	67	14	2.96	+	4.72	7.08E-06	4.65E-04
receptor localization to synapse (GO:0097120)	53	11	2.35	+	4.69	7.09E-05	3.46E-03
protein localization to synapse (GO:0035418)	65	13	2.88	+	4.52	2.24E-05	1.27E-03
regulation of dendritic spine development (GO:0060998)	81	16	3.58	+	4.46	3.02E-06	2.14E-04
membrane assembly (GO:0071709)	46	9	2.04	+	4.42	4.67E-04	1.73E-02
chemical synaptic transmission, postsynaptic (GO:0099565)	46	9	2.04	+	4.42	4.67E-04	1.72E-02
regulation of dopamine secretion (GO:0014059)	41	8	1.81	+	4.41	9.72E-04	3.14E-02
positive regulation of dendritic spine development (GO:0060999)	62	12	2.74	+	4.37	6.09E-05	3.05E-03
regulation of neuronal synaptic plasticity (GO:0048168)	68	13	3.01	+	4.32	3.40E-05	1.82E-03
regulation of establishment of planar polarity (GO:0090175)	42	8	1.86	+	4.30	1.11E-03	3.56E-02
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	63	12	2.79	+	4.30	6.97E-05	3.42E-03
regulation of synapse assembly (GO:0051963)	121	23	5.35	+	4.30	4.13E-08	4.14E-06
morphogenesis of a polarized epithelium (GO:0001738)	53	10	2.35	+	4.26	2.96E-04	1.19E-02
neuromuscular process controlling balance (GO:0050885)	69	13	3.05	+	4.26	3.88E-05	2.04E-03
phospholipid translocation (GO:0045332)	48	9	2.12	+	4.24	6.12E-04	2.16E-02
regulation of neurotransmitter secretion (GO:0046928)	123	23	5.44	+	4.23	5.37E-08	5.26E-06
central nervous system neuron axonogenesis (GO:0021955)	43	8	1.90	+	4.20	1.27E-03	3.95E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	49	9	2.17	+	4.15	6.98E-04	2.39E-02
regulation of long-term synaptic potentiation (GO:1900271)	55	10	2.43	+	4.11	3.84E-04	1.48E-02
respiratory gaseous exchange by respiratory system (GO:0007585)	44	8	1.95	+	4.11	1.45E-03	4.41E-02
lipid translocation (GO:0034204)	50	9	2.21	+	4.07	7.93E-04	2.65E-02
mesenchyme morphogenesis (GO:0072132)	50	9	2.21	+	4.07	7.93E-04	2.64E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	291	52	12.88	+	4.04	1.22E-15	5.06E-13
anterior/posterior axis specification (GO:0009948)	56	10	2.48	+	4.04	4.36E-04	1.64E-02
cell-cell signaling by wnt (GO:0198738)	237	42	10.49	+	4.00	8.83E-13	2.14E-10
Wnt signaling pathway (GO:0016055)	237	42	10.49	+	4.00	8.83E-13	2.11E-10
cranial nerve development (GO:0021545)	51	9	2.26	+	3.99	8.99E-04	2.94E-02
regulation of synapse organization (GO:0050807)	261	46	11.55	+	3.98	8.54E-14	2.59E-11
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	109	19	4.82	+	3.94	1.92E-06	1.44E-04
positive regulation of fat cell differentiation (GO:0045600)	69	12	3.05	+	3.93	1.50E-04	6.70E-03
regulation of membrane lipid distribution (GO:0097035)	58	10	2.57	+	3.90	5.56E-04	1.97E-02
regulation of neurotransmitter transport (GO:0051588)	140	24	6.20	+	3.87	1.17E-07	1.06E-05
dendrite morphogenesis (GO:0048813)	76	13	3.36	+	3.87	9.31E-05	4.40E-03
membrane biogenesis (GO:0044091)	53	9	2.35	+	3.84	1.14E-03	3.64E-02
regulation of synapse structure or activity (GO:0050803)	273	46	12.08	+	3.81	3.52E-13	9.58E-11
potassium ion transmembrane transport (GO:0071805)	139	23	6.15	+	3.74	3.73E-07	3.11E-05
postsynapse organization (GO:0099173)	97	16	4.29	+	3.73	2.24E-05	1.28E-03
regulation of dendrite morphogenesis (GO:0048814)	91	15	4.03	+	3.72	4.04E-05	2.11E-03
regulation of catecholamine secretion (GO:0050433)	67	11	2.96	+	3.71	4.33E-04	1.63E-02
digestive system development (GO:0055123)	134	22	5.93	+	3.71	7.47E-07	5.86E-05
mesoderm development (GO:0007498)	110	18	4.87	+	3.70	7.75E-06	4.96E-04
positive regulation of dendrite morphogenesis (GO:0050775)	55	9	2.43	+	3.70	1.44E-03	4.39E-02
negative regulation of BMP signaling pathway (GO:0030514)	55	9	2.43	+	3.70	1.44E-03	4.38E-02
modulation of chemical synaptic transmission (GO:0050804)	516	82	22.83	+	3.59	3.69E-21	2.77E-18
regulation of trans-synaptic signaling (GO:0099177)	517	82	22.88	+	3.58	4.11E-21	2.95E-18
nerve development (GO:0021675)	82	13	3.63	+	3.58	1.83E-04	7.84E-03
protein localization to cell junction (GO:1902414)	95	15	4.20	+	3.57	6.25E-05	3.11E-03
